date;heure;PM25;PM10;NO2;O3;CO
;;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3
21/07/2011;1;n/d;7;12;n/d;n/d
21/07/2011;2;n/d;6;10;n/d;n/d
21/07/2011;3;n/d;7;10;n/d;n/d
21/07/2011;4;n/d;7;14;n/d;n/d
21/07/2011;5;n/d;10;30;n/d;n/d
21/07/2011;6;n/d;10;36;n/d;n/d
21/07/2011;7;n/d;11;32;n/d;n/d
21/07/2011;8;n/d;15;39;n/d;n/d
21/07/2011;9;n/d;17;36;n/d;n/d
21/07/2011;10;n/d;19;39;n/d;n/d
21/07/2011;11;n/d;19;38;n/d;n/d
21/07/2011;12;n/d;16;30;n/d;n/d
21/07/2011;13;n/d;15;28;n/d;n/d
21/07/2011;14;n/d;17;25;n/d;n/d
21/07/2011;15;n/d;16;21;n/d;n/d
21/07/2011;16;n/d;19;26;n/d;n/d
21/07/2011;17;n/d;20;24;n/d;n/d
21/07/2011;18;n/d;24;39;n/d;n/d
21/07/2011;19;n/d;27;36;n/d;n/d
21/07/2011;20;n/d;31;29;n/d;n/d
21/07/2011;21;n/d;28;23;n/d;n/d
21/07/2011;22;n/d;24;23;n/d;n/d
21/07/2011;23;n/d;24;21;n/d;n/d
21/07/2011;24;n/d;24;19;n/d;n/d
22/07/2011;1;n/d;23;16;n/d;n/d
22/07/2011;2;n/d;23;15;n/d;n/d
22/07/2011;3;n/d;24;14;n/d;n/d
22/07/2011;4;n/d;26;17;n/d;n/d
22/07/2011;5;n/d;29;26;n/d;n/d
22/07/2011;6;n/d;33;41;n/d;n/d
22/07/2011;7;n/d;37;45;n/d;n/d
22/07/2011;8;n/d;37;35;n/d;n/d
22/07/2011;9;n/d;36;40;n/d;n/d
22/07/2011;10;n/d;34;25;n/d;n/d
22/07/2011;11;n/d;26;17;n/d;n/d
22/07/2011;12;n/d;24;15;n/d;n/d
22/07/2011;13;n/d;23;15;n/d;n/d
22/07/2011;14;n/d;26;25;n/d;n/d
22/07/2011;15;n/d;30;28;n/d;n/d
22/07/2011;16;n/d;20;36;n/d;n/d
22/07/2011;17;n/d;16;50;n/d;n/d
22/07/2011;18;n/d;13;36;n/d;n/d
22/07/2011;19;n/d;17;35;n/d;n/d
22/07/2011;20;n/d;22;26;n/d;n/d
22/07/2011;21;n/d;25;27;n/d;n/d
22/07/2011;22;n/d;25;32;n/d;n/d
22/07/2011;23;n/d;20;39;n/d;n/d
22/07/2011;24;n/d;21;30;n/d;n/d
23/07/2011;1;n/d;20;26;n/d;n/d
23/07/2011;2;n/d;19;20;n/d;n/d
23/07/2011;3;n/d;20;26;n/d;n/d
23/07/2011;4;n/d;22;23;n/d;n/d
23/07/2011;5;n/d;20;29;n/d;n/d
23/07/2011;6;n/d;17;33;n/d;n/d
23/07/2011;7;n/d;15;43;n/d;n/d
23/07/2011;8;n/d;19;33;n/d;n/d
23/07/2011;9;n/d;24;26;n/d;n/d
23/07/2011;10;n/d;22;21;n/d;n/d
23/07/2011;11;n/d;21;17;n/d;n/d
23/07/2011;12;n/d;27;17;n/d;n/d
23/07/2011;13;n/d;19;20;n/d;n/d
23/07/2011;14;n/d;13;16;n/d;n/d
23/07/2011;15;n/d;9;14;n/d;n/d
23/07/2011;16;n/d;12;15;n/d;n/d
23/07/2011;17;n/d;12;16;n/d;n/d
23/07/2011;18;n/d;13;18;n/d;n/d
23/07/2011;19;n/d;16;16;n/d;n/d
23/07/2011;20;n/d;20;17;n/d;n/d
23/07/2011;21;n/d;23;17;n/d;n/d
23/07/2011;22;n/d;24;18;n/d;n/d
23/07/2011;23;n/d;19;24;n/d;n/d
23/07/2011;24;n/d;17;28;n/d;n/d
24/07/2011;1;n/d;14;23;n/d;n/d
24/07/2011;2;n/d;14;19;n/d;n/d
24/07/2011;3;n/d;14;11;n/d;n/d
24/07/2011;4;n/d;15;10;n/d;n/d
24/07/2011;5;n/d;15;10;n/d;n/d
24/07/2011;6;n/d;16;12;n/d;n/d
24/07/2011;7;n/d;15;10;n/d;n/d
24/07/2011;8;n/d;15;11;n/d;n/d
24/07/2011;9;n/d;16;10;n/d;n/d
24/07/2011;10;n/d;16;10;n/d;n/d
24/07/2011;11;n/d;15;9;n/d;n/d
24/07/2011;12;n/d;15;9;n/d;n/d
24/07/2011;13;n/d;17;8;n/d;n/d
24/07/2011;14;n/d;19;6;n/d;n/d
24/07/2011;15;n/d;21;7;n/d;n/d
24/07/2011;16;n/d;20;10;n/d;n/d
24/07/2011;17;n/d;22;13;n/d;n/d
24/07/2011;18;n/d;23;20;n/d;n/d
24/07/2011;19;n/d;23;21;n/d;n/d
24/07/2011;20;n/d;22;16;n/d;n/d
24/07/2011;21;n/d;19;18;n/d;n/d
24/07/2011;22;n/d;15;22;n/d;n/d
24/07/2011;23;n/d;13;15;n/d;n/d
24/07/2011;24;n/d;10;15;n/d;n/d
25/07/2011;1;n/d;12;10;n/d;n/d
25/07/2011;2;n/d;12;9;n/d;n/d
25/07/2011;3;n/d;9;7;n/d;n/d
25/07/2011;4;n/d;7;8;n/d;n/d
25/07/2011;5;n/d;6;17;n/d;n/d
25/07/2011;6;n/d;8;29;n/d;n/d
25/07/2011;7;n/d;10;33;n/d;n/d
25/07/2011;8;n/d;13;35;n/d;n/d
25/07/2011;9;n/d;15;33;n/d;n/d
25/07/2011;10;n/d;17;30;n/d;n/d
25/07/2011;11;n/d;15;25;n/d;n/d
25/07/2011;12;n/d;13;18;n/d;n/d
25/07/2011;13;n/d;16;20;n/d;n/d
25/07/2011;14;n/d;18;17;n/d;n/d
25/07/2011;15;n/d;21;18;n/d;n/d
25/07/2011;16;n/d;23;21;n/d;n/d
25/07/2011;17;n/d;24;19;n/d;n/d
25/07/2011;18;n/d;23;15;n/d;n/d
25/07/2011;19;n/d;25;19;n/d;n/d
25/07/2011;20;n/d;28;21;n/d;n/d
25/07/2011;21;n/d;25;19;n/d;n/d
25/07/2011;22;n/d;21;16;n/d;n/d
25/07/2011;23;n/d;15;14;n/d;n/d
25/07/2011;24;n/d;16;13;n/d;n/d
26/07/2011;1;n/d;19;11;n/d;n/d
26/07/2011;2;n/d;19;10;n/d;n/d
26/07/2011;3;n/d;20;12;n/d;n/d
26/07/2011;4;n/d;19;17;n/d;n/d
26/07/2011;5;n/d;22;31;n/d;n/d
26/07/2011;6;n/d;27;42;n/d;n/d
26/07/2011;7;n/d;31;51;n/d;n/d
26/07/2011;8;n/d;35;55;n/d;n/d
26/07/2011;9;n/d;40;71;n/d;n/d
26/07/2011;10;n/d;43;49;n/d;n/d
26/07/2011;11;n/d;36;40;n/d;n/d
26/07/2011;12;n/d;34;27;n/d;n/d
26/07/2011;13;n/d;29;n/d;n/d;n/d
26/07/2011;14;n/d;30;24;n/d;n/d
26/07/2011;15;n/d;32;22;n/d;n/d
26/07/2011;16;n/d;31;20;n/d;n/d
26/07/2011;17;n/d;30;28;n/d;n/d
26/07/2011;18;n/d;32;26;n/d;n/d
26/07/2011;19;n/d;33;31;n/d;n/d
26/07/2011;20;n/d;34;36;n/d;n/d
26/07/2011;21;n/d;33;45;n/d;n/d
26/07/2011;22;n/d;29;23;n/d;n/d
26/07/2011;23;n/d;27;22;n/d;n/d
26/07/2011;24;n/d;27;17;n/d;n/d
27/07/2011;1;n/d;26;14;n/d;n/d
27/07/2011;2;n/d;22;11;n/d;n/d
27/07/2011;3;n/d;20;12;n/d;n/d
27/07/2011;4;n/d;22;20;n/d;n/d
27/07/2011;5;n/d;22;28;n/d;n/d
27/07/2011;6;n/d;24;43;n/d;n/d
27/07/2011;7;n/d;28;43;n/d;n/d
27/07/2011;8;n/d;28;35;n/d;n/d
27/07/2011;9;n/d;26;37;n/d;n/d
27/07/2011;10;n/d;27;33;n/d;n/d
27/07/2011;11;n/d;24;25;n/d;n/d
27/07/2011;12;n/d;21;25;n/d;n/d
27/07/2011;13;n/d;24;31;n/d;n/d
27/07/2011;14;n/d;20;29;n/d;n/d
27/07/2011;15;n/d;17;29;n/d;n/d
27/07/2011;16;n/d;9;33;n/d;n/d
27/07/2011;17;n/d;13;31;n/d;n/d
27/07/2011;18;n/d;13;35;n/d;n/d
27/07/2011;19;n/d;13;45;n/d;n/d
27/07/2011;20;n/d;18;40;n/d;n/d
27/07/2011;21;n/d;21;20;n/d;n/d
27/07/2011;22;n/d;20;23;n/d;n/d
27/07/2011;23;n/d;19;25;n/d;n/d
27/07/2011;24;n/d;19;21;n/d;n/d
28/07/2011;1;n/d;21;15;n/d;n/d
28/07/2011;2;n/d;23;10;n/d;n/d
28/07/2011;3;n/d;23;11;n/d;n/d
28/07/2011;4;n/d;24;13;n/d;n/d
28/07/2011;5;n/d;26;21;n/d;n/d
28/07/2011;6;n/d;29;33;n/d;n/d
28/07/2011;7;n/d;30;41;n/d;n/d
28/07/2011;8;n/d;47;39;n/d;n/d
28/07/2011;9;n/d;40;36;n/d;n/d
28/07/2011;10;n/d;33;26;n/d;n/d
28/07/2011;11;n/d;31;26;n/d;n/d
28/07/2011;12;n/d;31;21;n/d;n/d
28/07/2011;13;n/d;29;21;n/d;n/d
28/07/2011;14;n/d;42;36;n/d;n/d
28/07/2011;15;n/d;31;27;n/d;n/d
28/07/2011;16;n/d;24;28;n/d;n/d
28/07/2011;17;n/d;25;25;n/d;n/d
28/07/2011;18;n/d;30;33;n/d;n/d
28/07/2011;19;n/d;37;46;n/d;n/d
28/07/2011;20;n/d;42;51;n/d;n/d
28/07/2011;21;n/d;44;35;n/d;n/d
28/07/2011;22;n/d;36;31;n/d;n/d
28/07/2011;23;n/d;31;29;n/d;n/d
28/07/2011;24;n/d;32;20;n/d;n/d
29/07/2011;1;n/d;30;15;n/d;n/d
29/07/2011;2;n/d;29;15;n/d;n/d
29/07/2011;3;n/d;31;12;n/d;n/d
29/07/2011;4;n/d;31;11;n/d;n/d
29/07/2011;5;n/d;34;18;n/d;n/d
29/07/2011;6;n/d;38;32;n/d;n/d
29/07/2011;7;n/d;47;59;n/d;n/d
29/07/2011;8;n/d;54;60;n/d;n/d
29/07/2011;9;n/d;53;40;n/d;n/d
29/07/2011;10;n/d;47;34;n/d;n/d
29/07/2011;11;n/d;49;36;n/d;n/d
29/07/2011;12;n/d;46;28;n/d;n/d
29/07/2011;13;n/d;42;24;n/d;n/d
29/07/2011;14;n/d;38;25;n/d;n/d
29/07/2011;15;n/d;34;20;n/d;n/d
29/07/2011;16;n/d;33;24;n/d;n/d
29/07/2011;17;n/d;36;32;n/d;n/d
29/07/2011;18;n/d;35;30;n/d;n/d
29/07/2011;19;n/d;32;23;n/d;n/d
29/07/2011;20;n/d;33;32;n/d;n/d
29/07/2011;21;n/d;43;28;n/d;n/d
29/07/2011;22;n/d;n/d;30;n/d;n/d
29/07/2011;23;n/d;44;31;n/d;n/d
29/07/2011;24;n/d;32;26;n/d;n/d
30/07/2011;1;n/d;25;19;n/d;n/d
30/07/2011;2;n/d;20;15;n/d;n/d
30/07/2011;3;n/d;20;14;n/d;n/d
30/07/2011;4;n/d;19;14;n/d;n/d
30/07/2011;5;n/d;17;18;n/d;n/d
30/07/2011;6;n/d;18;26;n/d;n/d
30/07/2011;7;n/d;18;21;n/d;n/d
30/07/2011;8;n/d;19;12;n/d;n/d
30/07/2011;9;n/d;20;10;n/d;n/d
30/07/2011;10;n/d;19;12;n/d;n/d
30/07/2011;11;n/d;21;10;n/d;n/d
30/07/2011;12;n/d;19;11;n/d;n/d
30/07/2011;13;n/d;18;10;n/d;n/d
30/07/2011;14;n/d;18;9;n/d;n/d
30/07/2011;15;n/d;19;10;n/d;n/d
30/07/2011;16;n/d;20;11;n/d;n/d
30/07/2011;17;n/d;20;13;n/d;n/d
30/07/2011;18;n/d;21;11;n/d;n/d
30/07/2011;19;n/d;24;16;n/d;n/d
30/07/2011;20;n/d;29;29;n/d;n/d
30/07/2011;21;n/d;35;27;n/d;n/d
30/07/2011;22;n/d;32;22;n/d;n/d
30/07/2011;23;n/d;23;25;n/d;n/d
30/07/2011;24;n/d;19;25;n/d;n/d
31/07/2011;1;n/d;19;27;n/d;n/d
31/07/2011;2;n/d;20;29;n/d;n/d
31/07/2011;3;n/d;20;33;n/d;n/d
31/07/2011;4;n/d;18;24;n/d;n/d
31/07/2011;5;n/d;18;29;n/d;n/d
31/07/2011;6;n/d;20;32;n/d;n/d
31/07/2011;7;n/d;18;21;n/d;n/d
31/07/2011;8;n/d;17;24;n/d;n/d
31/07/2011;9;n/d;19;28;n/d;n/d
31/07/2011;10;n/d;22;27;n/d;n/d
31/07/2011;11;n/d;22;29;n/d;n/d
31/07/2011;12;n/d;25;29;n/d;n/d
