date;heure;PM25;PM10;O3;NO2;CO
;;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3
21/07/2011;1;n/d;7;n/d;12;n/d
21/07/2011;2;n/d;6;n/d;10;n/d
21/07/2011;3;n/d;7;n/d;10;n/d
21/07/2011;4;n/d;7;n/d;14;n/d
21/07/2011;5;n/d;10;n/d;30;n/d
21/07/2011;6;n/d;10;n/d;36;n/d
21/07/2011;7;n/d;11;n/d;32;n/d
21/07/2011;8;n/d;15;n/d;39;n/d
21/07/2011;9;n/d;17;n/d;36;n/d
21/07/2011;10;n/d;19;n/d;39;n/d
21/07/2011;11;n/d;19;n/d;38;n/d
21/07/2011;12;n/d;16;n/d;30;n/d
21/07/2011;13;n/d;15;n/d;28;n/d
21/07/2011;14;n/d;17;n/d;25;n/d
21/07/2011;15;n/d;16;n/d;21;n/d
21/07/2011;16;n/d;19;n/d;26;n/d
21/07/2011;17;n/d;20;n/d;24;n/d
21/07/2011;18;n/d;24;n/d;39;n/d
21/07/2011;19;n/d;27;n/d;36;n/d
21/07/2011;20;n/d;31;n/d;29;n/d
21/07/2011;21;n/d;28;n/d;23;n/d
21/07/2011;22;n/d;24;n/d;23;n/d
21/07/2011;23;n/d;24;n/d;21;n/d
21/07/2011;24;n/d;24;n/d;19;n/d
22/07/2011;1;n/d;23;n/d;16;n/d
22/07/2011;2;n/d;23;n/d;15;n/d
22/07/2011;3;n/d;24;n/d;14;n/d
22/07/2011;4;n/d;26;n/d;17;n/d
22/07/2011;5;n/d;29;n/d;26;n/d
22/07/2011;6;n/d;33;n/d;41;n/d
22/07/2011;7;n/d;37;n/d;45;n/d
22/07/2011;8;n/d;37;n/d;35;n/d
22/07/2011;9;n/d;36;n/d;40;n/d
22/07/2011;10;n/d;34;n/d;25;n/d
22/07/2011;11;n/d;26;n/d;17;n/d
22/07/2011;12;n/d;24;n/d;15;n/d
22/07/2011;13;n/d;23;n/d;15;n/d
22/07/2011;14;n/d;26;n/d;25;n/d
22/07/2011;15;n/d;30;n/d;28;n/d
22/07/2011;16;n/d;20;n/d;36;n/d
22/07/2011;17;n/d;16;n/d;50;n/d
22/07/2011;18;n/d;13;n/d;36;n/d
22/07/2011;19;n/d;17;n/d;35;n/d
22/07/2011;20;n/d;22;n/d;26;n/d
22/07/2011;21;n/d;25;n/d;27;n/d
22/07/2011;22;n/d;25;n/d;32;n/d
22/07/2011;23;n/d;20;n/d;39;n/d
22/07/2011;24;n/d;21;n/d;30;n/d
23/07/2011;1;n/d;20;n/d;26;n/d
23/07/2011;2;n/d;19;n/d;20;n/d
23/07/2011;3;n/d;20;n/d;26;n/d
23/07/2011;4;n/d;22;n/d;23;n/d
23/07/2011;5;n/d;20;n/d;29;n/d
23/07/2011;6;n/d;17;n/d;33;n/d
23/07/2011;7;n/d;15;n/d;43;n/d
23/07/2011;8;n/d;19;n/d;33;n/d
23/07/2011;9;n/d;24;n/d;26;n/d
23/07/2011;10;n/d;22;n/d;21;n/d
23/07/2011;11;n/d;21;n/d;17;n/d
23/07/2011;12;n/d;27;n/d;17;n/d
23/07/2011;13;n/d;19;n/d;20;n/d
23/07/2011;14;n/d;13;n/d;16;n/d
